   25200. 0.6992  3.1  6.8 0.40 0.07308 -0.08246  0.09384  2.74981    -171.5511   0.1125E-04  -0.0000E+00   0.3337E-02   0.6788E-02  -0.2470E-03   0.3538E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.8389E-02     0.3829E-02
   25800. 0.6992  3.1  6.8 0.40 0.07441 -0.08305  0.09746  2.83589    -171.5328   0.1148E-04  -0.0000E+00   0.3387E-02   0.7055E-02  -0.2652E-03   0.3966E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.8654E-02     0.3990E-02
   26400. 0.6992  3.1  6.8 0.40 0.07527 -0.08364  0.10138  2.90806    -171.5148   0.1171E-04  -0.0000E+00   0.3428E-02   0.7330E-02  -0.2789E-03   0.4347E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.8919E-02     0.4128E-02
   27000. 0.6992  3.1  6.8 0.40 0.06633 -0.09114  0.11749  2.75926    -171.4972   0.1196E-04  -0.0000E+00   0.3458E-02   0.7616E-02  -0.3052E-03   0.4980E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.9184E-02     0.4080E-02
   27600. 0.6992  3.1  6.8 0.40 0.06929 -0.08926  0.11750  2.86495    -171.4799   0.1218E-04  -0.0000E+00   0.3478E-02   0.7912E-02  -0.3177E-03   0.5391E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.9450E-02     0.4252E-02
   28200. 0.6992  3.1  6.8 0.40 0.07031 -0.08931  0.12097  2.93585    -171.4629   0.1240E-04  -0.0000E+00   0.3489E-02   0.8220E-02  -0.3287E-03   0.5799E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.9717E-02     0.4385E-02
   28800. 0.6992  3.1  6.8 0.40 0.06077 -0.09867  0.14283  2.77359    -171.4462   0.1265E-04  -0.0000E+00   0.3489E-02   0.8540E-02  -0.3559E-03   0.6553E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.9983E-02     0.4350E-02
   29400. 0.6992  3.1  6.8 0.40 0.06365 -0.09466  0.13872  2.84418    -171.4299   0.1285E-04  -0.0000E+00   0.3479E-02   0.8873E-02  -0.3629E-03   0.6942E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.1025E-01     0.4456E-02
   30000. 0.6992  3.1  6.8 0.40 0.06589 -0.09303  0.13922  2.93476    -171.4139   0.1305E-04  -0.0000E+00   0.3462E-02   0.9222E-02  -0.3689E-03   0.7321E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.1052E-01     0.4597E-02
   30600. 0.6992  3.1  6.8 0.40 0.06513 -0.09388  0.14491  2.95494    -171.3982   0.1327E-04  -0.0000E+00   0.3438E-02   0.9586E-02  -0.3769E-03   0.7760E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.1079E-01     0.4676E-02
   31200. 0.6992  3.1  6.8 0.40 0.05687 -0.10118  0.16501  2.77614    -171.3829   0.1351E-04  -0.0000E+00   0.3405E-02   0.9966E-02  -0.3992E-03   0.8543E-03   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1106E-01     0.4604E-02
   31800. 0.6992  3.1  6.8 0.40 0.05936 -0.09717  0.16001  2.83605    -171.3680   0.1369E-04  -0.0000E+00   0.3366E-02   0.1036E-01  -0.4013E-03   0.8885E-03   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1133E-01     0.4698E-02
   32400. 0.6992  3.1  6.8 0.40 0.06152 -0.09501  0.15873  2.91414    -171.3533   0.1389E-04  -0.0000E+00   0.3323E-02   0.1078E-01  -0.4024E-03   0.9204E-03   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1160E-01     0.4813E-02
   33000. 0.6992  3.1  6.8 0.40 0.06270 -0.09417  0.16039  2.97739    -171.3390   0.1409E-04  -0.0000E+00   0.3276E-02   0.1121E-01  -0.4044E-03   0.9549E-03   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1187E-01     0.4919E-02
   33600. 0.6992  3.1  6.8 0.40 0.06180 -0.09477  0.16546  2.98053    -171.3250   0.1430E-04   0.0000E+00   0.3225E-02   0.1166E-01  -0.4074E-03   0.9920E-03   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1214E-01     0.4967E-02
   34200. 0.6992  3.1  6.8 0.40 0.05281 -0.10327  0.19089  2.77287    -171.3113   0.1453E-04   0.0000E+00   0.3171E-02   0.1213E-01  -0.4252E-03   0.1069E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1241E-01     0.4867E-02
   34800. 0.6992  3.1  6.8 0.40 0.05435 -0.09900  0.18323  2.77883    -171.2979   0.1471E-04   0.0000E+00   0.3115E-02   0.1262E-01  -0.4244E-03   0.1097E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1269E-01     0.4887E-02
   35400. 0.6992  3.1  6.8 0.40 0.05580 -0.09699  0.18073  2.82392    -171.2849   0.1489E-04   0.0000E+00   0.3060E-02   0.1313E-01  -0.4227E-03   0.1120E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1296E-01     0.4955E-02
   36000. 0.6992  3.1  6.8 0.40 0.05699 -0.09577  0.17985  2.87052    -171.2722   0.1509E-04   0.0000E+00   0.3007E-02   0.1367E-01  -0.4207E-03   0.1140E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1324E-01     0.5022E-02
   36600. 0.6992  3.1  6.8 0.40 0.05805 -0.09488  0.17960  2.91629    -171.2597   0.1528E-04   0.0000E+00   0.2956E-02   0.1422E-01  -0.4194E-03   0.1160E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1352E-01     0.5091E-02
   37200. 0.6992  3.1  6.8 0.40 0.05876 -0.09434  0.17991  2.95071    -171.2476   0.1547E-04   0.0000E+00   0.2908E-02   0.1479E-01  -0.4180E-03   0.1177E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1379E-01     0.5145E-02
   37800. 0.6992  3.1  6.8 0.40 0.05921 -0.09413  0.18082  2.97857    -171.2356   0.1567E-04   0.0000E+00   0.2865E-02   0.1537E-01  -0.4176E-03   0.1196E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1407E-01     0.5194E-02
   38400. 0.6992  3.1  6.8 0.40 0.05941 -0.09403  0.18153  2.99348    -171.2240   0.1586E-04   0.0000E+00   0.2827E-02   0.1598E-01  -0.4170E-03   0.1209E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1435E-01     0.5225E-02
   39000. 0.6992  3.1  6.8 0.40 0.05939 -0.09429  0.18270  3.00311    -171.2126   0.1606E-04   0.0000E+00   0.2795E-02   0.1661E-01  -0.4174E-03   0.1221E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1463E-01     0.5249E-02
   39600. 0.6992  3.1  6.8 0.40 0.05926 -0.09478  0.18410  3.00974    -171.2015   0.1626E-04   0.0000E+00   0.2772E-02   0.1726E-01  -0.4192E-03   0.1236E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1491E-01     0.5273E-02
   40200. 0.6992  3.1  6.8 0.40 0.05906 -0.09538  0.18536  3.01241    -171.1905   0.1646E-04   0.0000E+00   0.2756E-02   0.1792E-01  -0.4217E-03   0.1249E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1519E-01     0.5292E-02
   40800. 0.6992  3.1  6.8 0.40 0.05877 -0.09624  0.18692  3.01392    -171.1799   0.1665E-04   0.0000E+00   0.2749E-02   0.1860E-01  -0.4256E-03   0.1263E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1547E-01     0.5312E-02
   41400. 0.6992  3.1  6.8 0.40 0.05842 -0.09724  0.18849  3.01298    -171.1694   0.1685E-04   0.0000E+00   0.2753E-02   0.1930E-01  -0.4307E-03   0.1278E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1575E-01     0.5330E-02
   42000. 0.6992  3.1  6.8 0.40 0.05797 -0.09839  0.18993  3.00608    -171.1592   0.1705E-04   0.0000E+00   0.2768E-02   0.2001E-01  -0.4364E-03   0.1291E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1604E-01     0.5340E-02
   42600. 0.6992  3.1  6.8 0.40 0.05730 -0.09990  0.19185  2.99346    -171.1491   0.1725E-04   0.0000E+00   0.2794E-02   0.2074E-01  -0.4435E-03   0.1304E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1632E-01     0.5344E-02
   43200. 0.6992  3.1  6.8 0.40 0.05641 -0.10182  0.19446  2.97624    -171.1393   0.1745E-04   0.0000E+00   0.2832E-02   0.2148E-01  -0.4528E-03   0.1320E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1660E-01     0.5348E-02
   43800. 0.6992  3.1  6.8 0.40 0.05534 -0.10405  0.19755  2.95284    -171.1297   0.1765E-04   0.0000E+00   0.2884E-02   0.2223E-01  -0.4640E-03   0.1340E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1689E-01     0.5351E-02
   44400. 0.6992  3.1  6.8 0.40 0.05402 -0.10661  0.20107  2.91996    -171.1202   0.1785E-04   0.0000E+00   0.2949E-02   0.2299E-01  -0.4770E-03   0.1362E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1718E-01     0.5346E-02
   45000. 0.6992  3.1  6.8 0.40 0.05239 -0.10964  0.20535  2.87569    -171.1110   0.1805E-04   0.0000E+00   0.3027E-02   0.2377E-01  -0.4921E-03   0.1386E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1746E-01     0.5332E-02
   45600. 0.6992  3.1  6.8 0.40 0.05058 -0.11311  0.21024  2.82374    -171.1019   0.1826E-04   0.0000E+00   0.3118E-02   0.2455E-01  -0.5095E-03   0.1413E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1775E-01     0.5314E-02
   46200. 0.6992  3.1  6.8 0.40 0.04853 -0.11720  0.21617  2.76384    -171.0930   0.1846E-04   0.0000E+00   0.3224E-02   0.2534E-01  -0.5295E-03   0.1443E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1804E-01     0.5294E-02
   46800. 0.6992  3.1  6.8 0.40 0.05936 -0.10416  0.17694  2.99865    -171.0843   0.1858E-04   0.0000E+00   0.3346E-02   0.2614E-01  -0.5280E-03   0.1413E-02   0.0000E+00   0.0000E+00     0.2443E+11     0.4995E+03     0.1832E-01     0.5477E-02
